物品名,保管場所,カテゴリ,状態,備考
6630KN,旧工場１F　ダンボール①,K,,"770/2400
910/920
"
6017KM,旧工場１F　ダンボール③,K,,700/2400
6005KH91,工場1F,KJ,,"380/1800
850/1420"
399K(16),旧工場１F　ダンボール①,JC,,"540/1800
"
635,旧工場１F　ダンボール③,TJY,,"600×2400
350×1850
1230×1030
510×1040
"
15007,旧工場１F　ダンボール②,JCW,,900*2400
2600K,旧工場１F　ダンボール①,TJY,,"185x1850
その他"
3509,,VBEX,IBIDEN,350x2450
2070,工場1F,TJY,340x2450,340x2450
1940,工場1F,LJ,360x1720,"450x2450
360x1720
390x1820"
10237,工場1F,TJ,645x2450,"645*2450
400*1020"
578K(98),工場1F,TJY,,470*1850
10129K(62),工場1F,TJY,,680*2450
10039K(41),工場1F,TSY,,920*2450
10179K(91),工場1F,LJ,870x2450,"870*2450
"
533K(62),工場1F,JC,,760*1710
654,工場1F,JC,,"160x1850
230x930"
695K,工場1F,TJY,,245x930
18036Ｋ(98),工場1F,TJ,,"180x1180
230x560
320x570"
10192,工場1F,JNY,,660x1770
10038,,TSY,,"430x830
450x2400"
398K,,JC,,220x1850
409K,,TJ,,640x1850
504K,,XE,550x1660,
6204,,K,,560x1850
6205KN,,K,,420x1205
647,,TJY,,670x1470
664,,TJ,,830x1050
676B,,JC,,785x2450
703K,,JI,,1090x2060
929KM,,SAI,725x1830,
2000K(16),,TJY,200x2400,"360x1850,
200x2400"
2603K,,TJY,615x2450,"1230x560,
615x2450,
490x1600,
320x1200,"
300,,JI,480x2450,"480x2450,
480x2450"
420,,TJ,500x2450,"540x1850,
500x2450,"
2020,,TJ,940x950,
